PID,gender,age,SOD,role,staying,floor,office_number,pair,place1,place2,place4familiar,place4unfamiliar,familiar,unfamiliar,vis_diff,str_diff,sem_diff,sign_diff,fre_diff,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
STU11,male,26,91,master,16, , , ,WC-J,H92,WC-J,WC-J,1,1,1.47043,-.145213333,1.855733333,.4277,2.01347,1.45237,1.74176,1.21716,0,-.86333,.42769,1.77704,1.39971,2.39045,.4277,2.01347
STU11,male,26,91,master,16, , , ,WC-J,K32,K32,K32,-1,-1,-.589916667,-1.732516667,-.381373333,-2.1385,.80539,0,-1.16117,-.60858,-1.32842,-2.15833,-1.7108,-.44427,-.69985,0,-2.1385,.80539
STU11,male,26,91,master,16, , , ,WC-J,WC-H,WC-H,WC-H,-1,-1,0,-1.58995,.201836667,0,2.01347,0,0,0,-1.32842,-2.15833,-1.2831,-.44427,1.04978,0,0,2.01347
STU11,male,26,91,master,16, , , ,WC-J,J10,J10,WC-J,-1,1,-1.286226667,-1.576166667,-.381373333,.4277,0,-1.45236,-.58058,-1.82574,0,-2.59,-2.1385,-.44427,-.69985,0,.4277,0
STU11,male,26,91,master,16, , , ,WC-J,H79,H79,H79,-1,-1,-.719133333,-.704333333,1.309236667,.4277,2.01347,-.96824,-.58058,-.60858,1.32843,-2.15833,-1.2831,1.33278,1.39971,1.19522,.4277,2.01347
STU11,male,26,91,master,16, , , ,H92,K32,K32,K32,-1,-1,-2.060346667,-1.587303333,-2.237106667,-2.5662,-1.20808,-1.45237,-2.90293,-1.82574,-1.32842,-1.295,-2.13849,-2.22131,-2.09956,-2.39045,-2.5662,-1.20808
STU11,male,26,91,master,16, , , ,H92,WC-H,WC-H,WC-H,-1,-1,-1.47043,-1.444736667,-1.653896667,-.4277,0,-1.45237,-1.74176,-1.21716,-1.32842,-1.295,-1.71079,-2.22131,-.34993,-2.39045,-.4277,0
STU11,male,26,91,master,16, , , ,H92,J10,J10,H92,-1,1,-2.756656667,-1.430953333,-2.237106667,0,-2.01347,-2.90473,-2.32234,-3.0429,0,-1.72667,-2.56619,-2.22131,-2.09956,-2.39045,0,-2.01347
STU11,male,26,91,master,16, , , ,H92,H79,H79,H79,-1,-1,-2.189563333,-.55912,-.546496667,0,0,-2.42061,-2.32234,-1.82574,1.32843,-1.295,-1.71079,-.44426,0,-1.19523,0,0
STU11,male,26,91,master,16, , , ,K32,WC-H,WC-H,K32,-1,1,.589916667,.142566667,.58321,2.1385,1.20808,0,1.16117,.60858,0,0,.4277,0,1.74963,0,2.1385,1.20808
